source_store_name,retailer_name,store_branch_name,row_count,query,category_group_code,search_stage,validation_status,match_status,store_status,place_name,category_name,address_name,road_address_name,region_1depth_name,region_2depth_name,region_3depth_name,x,y,place_url
GS더프레시개금점,GS더프레시,개금점,225,GS더프레시 개금점,MT1,primary_category,valid,matched,open,GS더프레시 개금점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",부산 부산진구 개금동 53-3,부산 부산진구 백양관문로 3,부산,부산진구,개금동,129.03138335114772,35.15957847329699,http://place.map.kakao.com/8009860
GS더프레시거제신현점,GS더프레시,거제신현점,225,GS더프레시 거제신현점,MT1,primary_category,valid,matched,open,GS더프레시 거제신현점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",경남 거제시 고현동 970-10,경남 거제시 서문로 51,경남,거제시,고현동,128.62149814905,34.8895072184678,http://place.map.kakao.com/16391648
GS더프레시경주현곡점,GS더프레시,경주현곡점,225,GS더프레시 경주현곡점,MT1,primary_category,valid,matched,open,GS더프레시 경주현곡점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",경북 경주시 현곡면 금장리 442-1,경북 경주시 현곡면 안현로 8,경북,경주시,현곡면,129.20272896445812,35.868242127576764,http://place.map.kakao.com/17027241
GS더프레시고양지축역점,GS더프레시,고양지축역점,225,GS더프레시 고양지축역점,MT1,primary_category,valid,matched,open,GS더프레시 고양지축역점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",경기 고양시 덕양구 지축동 924-6,경기 고양시 덕양구 지정로 77,경기,고양시,덕양구,126.918996732026,37.6520634522191,http://place.map.kakao.com/43440708
GS더프레시광진화양점,GS더프레시,광진화양점,225,GS더프레시 광진화양점,MT1,primary_category,valid,matched,open,GS더프레시 광진화양점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",서울 광진구 화양동 10-1,서울 광진구 능동로13길 39,서울,광진구,화양동,127.06979675817672,37.543835470900724,http://place.map.kakao.com/8139721
GS더프레시구월점,GS더프레시,구월점,225,GS더프레시 구월점,MT1,primary_category,valid,matched,open,GS더프레시 구월점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",인천 남동구 구월동 23,인천 남동구 구월로 212,인천,남동구,구월동,126.71402869325854,37.455993577861264,http://place.map.kakao.com/8008203
GS더프레시구포점,GS더프레시,구포점,225,GS더프레시 구포점,MT1,primary_category,valid,matched,open,GS더프레시 구포점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",부산 북구 구포동 654-11,부산 북구 낙동대로1780번길 106,부산,북구,구포동,129.003377839347,35.205705454437,http://place.map.kakao.com/8561096
GS더프레시군포당정점,GS더프레시,군포당정점,225,GS더프레시 군포당정점,MT1,primary_category,valid,matched,open,GS더프레시 군포당정점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",경기 군포시 당정동 1004-1,경기 군포시 한세로12번길 25,경기,군포시,당정동,126.950587327156,37.344195342505,http://place.map.kakao.com/17815974
GS더프레시김포감정점,GS더프레시,김포감정점,111,지에스더프레시김포감정점,,manual_override,valid,matched,open,지에스더프레시김포감정점,,경기 김포시 감정동 676,경기 김포시 봉화로181번길 31-20,경기,김포시,감정동,126.700920856446,37.6262401283222,
GS더프레시김포사우점,GS더프레시,김포사우점,225,GS더프레시 김포사우점,MT1,primary_category,valid,matched,open,GS더프레시 김포사우점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",경기 김포시 사우동 237-2,경기 김포시 돌문로 43,경기,김포시,사우동,126.71780955329653,37.6189651918067,http://place.map.kakao.com/17027232
