source_store_name,retailer_name,store_branch_name,row_count
GS더프레시진해여좌점,GS더프레시,진해여좌점,225
GS더프레시진해풍호점,GS더프레시,진해풍호점,225
GS더프레시창원감계점,GS더프레시,창원감계점,225
GS더프레시천안두정점,GS더프레시,천안두정점,225
GS더프레시천안쌍용점,GS더프레시,천안쌍용점,225
GS더프레시천안점,GS더프레시,천안점,225
GS더프레시청주봉명점,GS더프레시,청주봉명점,225
GS더프레시청주용담점,GS더프레시,청주용담점,225
GS더프레시청주점,GS더프레시,청주점,225
GS더프레시초읍점,GS더프레시,초읍점,224
GS더프레시충주연수점,GS더프레시,충주연수점,225
GS더프레시충주용산점,GS더프레시,충주용산점,225
GS더프레시토월점,GS더프레시,토월점,225
GS더프레시파주청암점,GS더프레시,파주청암점,225
GS더프레시판교운중점,GS더프레시,판교운중점,231
GS더프레시포천점,GS더프레시,포천점,225
GS더프레시하남미사점,GS더프레시,하남미사점,225
GS더프레시하남점,GS더프레시,하남점,225
GS더프레시하안8점,GS더프레시,하안8점,225
GS더프레시학익점,GS더프레시,학익점,225
GS더프레시해운대마린점,GS더프레시,해운대마린점,225
GS더프레시행신점,GS더프레시,행신점,216
GS더프레시홍천점,GS더프레시,홍천점,225
GS더프레시화명점,GS더프레시,화명점,225
롯데슈퍼G고양삼송점,롯데슈퍼,G고양삼송점,502
롯데슈퍼G대림점,롯데슈퍼,G대림점,502
롯데슈퍼G마포점,롯데슈퍼,G마포점,502
롯데슈퍼G목동점,롯데슈퍼,G목동점,502
롯데슈퍼G방배점,롯데슈퍼,G방배점,500
롯데슈퍼G보라점,롯데슈퍼,G보라점,500
롯데슈퍼G복대2점,롯데슈퍼,G복대2점,502
롯데슈퍼G복대점,롯데슈퍼,G복대점,502
롯데슈퍼G부곡점,롯데슈퍼,G부곡점,496
롯데슈퍼G소사점,롯데슈퍼,G소사점,502
롯데슈퍼G속초점,롯데슈퍼,G속초점,500
롯데슈퍼G속초조양점,롯데슈퍼,G속초조양점,500
롯데슈퍼G수지점,롯데슈퍼,G수지점,503
롯데슈퍼G신곡점,롯데슈퍼,G신곡점,502
롯데슈퍼G운정점,롯데슈퍼,G운정점,502
롯데슈퍼G유진점,롯데슈퍼,G유진점,502
롯데슈퍼G은마점,롯데슈퍼,G은마점,500
롯데슈퍼G은평점,롯데슈퍼,G은평점,502
롯데슈퍼G전곡점,롯데슈퍼,G전곡점,502
롯데슈퍼G중동점,롯데슈퍼,G중동점,502
롯데슈퍼G철원점,롯데슈퍼,G철원점,502
롯데슈퍼G춘천점,롯데슈퍼,G춘천점,499
롯데슈퍼G홍제점,롯데슈퍼,G홍제점,502
롯데슈퍼G화곡점,롯데슈퍼,G화곡점,502
롯데슈퍼가락점,롯데슈퍼,가락점,500
롯데슈퍼개화산점,롯데슈퍼,개화산점,502
롯데슈퍼경주동천점,롯데슈퍼,경주동천점,479
롯데슈퍼경주용황점,롯데슈퍼,경주용황점,483
롯데슈퍼고양원흥점,롯데슈퍼,고양원흥점,502
롯데슈퍼공릉점,롯데슈퍼,공릉점,500
롯데슈퍼광명소하점,롯데슈퍼,광명소하점,502
롯데슈퍼광명일직점,롯데슈퍼,광명일직점,502
롯데슈퍼광명점,롯데슈퍼,광명점,502
롯데슈퍼광주도평점,롯데슈퍼,광주도평점,502
롯데슈퍼광주점,롯데슈퍼,광주점,482
롯데슈퍼광혜원점,롯데슈퍼,광혜원점,500
롯데슈퍼교문점,롯데슈퍼,교문점,500
롯데슈퍼길동점,롯데슈퍼,길동점,502
롯데슈퍼김포전원점,롯데슈퍼,김포전원점,502
롯데슈퍼김해율하2점,롯데슈퍼,김해율하2점,496
롯데슈퍼남가좌점,롯데슈퍼,남가좌점,503
롯데슈퍼남산점,롯데슈퍼,남산점,489
롯데슈퍼남양주도곡점,롯데슈퍼,남양주도곡점,500
롯데슈퍼남양주진접점,롯데슈퍼,남양주진접점,212
롯데슈퍼남양주호평점,롯데슈퍼,남양주호평점,500
롯데슈퍼남원점,롯데슈퍼,남원점,502
롯데슈퍼남현점,롯데슈퍼,남현점,500
롯데슈퍼녹양점,롯데슈퍼,녹양점,500
롯데슈퍼당리점,롯데슈퍼,당리점,497
