retailer_name,source_product_id,source_product_name,product_url,canonical_item,subtype,manufacturer_name,quantity,unit
농협몰,0036165555,연유버터스프레드 2개입,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0036165555,버터,버터,연유버터스프레드,2,개입
농협몰,0036201479,상하목장 유기농 딸기 우유125ml(24개입),https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0036201479,우유,우유,상하목장,24,개입
농협몰,0036201750,상하목장 얼려먹는 아이스크림 밀크(24개입),https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0036201750,우유,우유,상하목장,24,개입
농협몰,0036202021,어메이징 오트 초콜릿 330ML(12개입),https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0036202021,우유,우유,어메이징,12,개입
농협몰,0036417089,백설 찰밀가루 2.5kg x2개,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0036417089,밀가루,밀가루,백설,2,개
농협몰,0036417427,햇반 쿡반 버터장조림주먹밥 500g x5개,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0036417427,버터,버터,햇반,5,개
농협몰,0036441314,백설 명품 천일염 오천년의 신비 굵은입자 소금 1kg x2개,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0036441314,설탕,설탕,백설,2,개
농협몰,0036441327,백설 맛소금 250g x10개,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0036441327,설탕,설탕,백설,10,개
농협몰,0036441369,백설 맛소금 1kg x2개,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0036441369,설탕,설탕,백설,2,개
농협몰,0036441554,백설 구운소금 1kg x5개,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0036441554,설탕,설탕,백설,5,개
농협몰,0036441765,백설 브라운 자일로스 설탕 5kg x1개,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0036441765,설탕,설탕,백설,1,개
농협몰,0036441778,백설 갈색설탕 5kg x2개,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0036441778,설탕,설탕,백설,2,개
농협몰,0036442544,백설 허브맛솔트 와인&버터 40g x3개,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0036442544,버터,버터,백설,3,개
농협몰,0036513134,예천 화건 고춧가루 보통맛 500gx1,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0036513134,설탕,설탕,예천,500,g
농협몰,0036513262,3년숙성 천일염 마늘소금 450gx3,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0036513262,설탕,설탕,3년숙성,450,g
농협몰,0036513275,3년숙성 천일염 가는소금 500gx3팩,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0036513275,설탕,설탕,3년숙성,3,팩
농협몰,0036848292,매일 바이오 제로 190ml (24팩),https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0036848292,우유,우유,매일,24,팩
농협몰,0037032683,[한국양계농협] 목계촌 1+등급란 대란 60입 최우수등급판정 계란 (30입*2),https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0037032683,계란,계란,한국양계농협,30,입
농협몰,0037079411,[다신샵] 저당 통밀&쌀 크림빵/ 우유생크림 NO하얀밀가루,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0037079411,밀가루,밀가루,다신샵,,
농협몰,0037385491,연세우유 세브란스 전용목장 A2단백 멸균우유 180ml 24팩+125ml 24팩 (총48팩),https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0037385491,우유,우유,연세우유,48,팩
농협몰,0037863210,그레잇 아몬드버터 200g x 2병(즉시제조/아몬드100%),https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0037863210,버터,버터,그레잇,200,g
농협몰,0038801066,스키피 크리미 땅콩버터 2.27kg,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0038801066,버터,버터,스키피,2270.00,g
농협몰,0038867477,[다신샵] 고단백 식단빵 단백한빵 4종 골라담기 / 글루텐프리 NO밀가루 프로틴빵,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0038867477,밀가루,밀가루,다신샵,,
농협몰,0039236535,[콕스타] 전기 스텐 만두 고구마 계란 찜기 달걀 삶는 기계 멀티찜기 2단 야채찜기 NKTES-1000,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039236535,계란,계란,콕스타,,
농협몰,0039262192,애경 립바이브 슈가밤 4.8g (4종) 로지레드 x 1개 + 쉐어버터 x 1개 + 쿨민트 x 1개 + 프로폴리스 x 1개,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039262192,버터,버터,애경,1,개
농협몰,0039272500,건국 착한목장 멸균우유 2종 (총 48팩) 무항생제우유24팩+소화가 잘되는우유24팩,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039272500,우유,우유,건국,24,팩
농협몰,0039276135,라벨영 쇼킹비타민우유미백크림 55gx1개 톤업 비타밀크토닝,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039276135,우유,우유,라벨영,1,개
농협몰,0039297516,[델푸릇] 저칼로리 단백질 쉐이크 식사대용 무설탕,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039297516,설탕,설탕,델푸릇,,
농협몰,0039303376,서울우유 딸기꿀딴지 180mlx24개,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039303376,우유,우유,서울우유,24,개
농협몰,0039303503,서울우유 멸균우유 1000mlx5개,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039303503,우유,우유,서울우유,5,개
농협몰,0039303587,[바로바로팜] 롯데빠다코코낫 2번들 600G,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039303587,버터,버터,바로바로팜,600,g
농협몰,0039343611,맷돌로 갈아 만든 100% 국내산 백태콩물 500ml 2병,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039343611,버터,버터,맷돌로,500,ml
농협몰,0039343624,맷돌로 갈아 만든 100% 국내산 반반콩물(우뭇가사리1000ml+서리태1000ml) 총 2병,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039343624,버터,버터,맷돌로,1000,ml
농협몰,0039373944,라벨영 쇼킹찐영양클렌징샴푸액 500mlx3개 와인+우유 발효영양으로 두피모발 토탈케어,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039373944,우유,우유,라벨영,3,개
농협몰,0039376026,서울우유 견과우유죽 130gx30개,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039376026,우유,우유,서울우유,30,개
농협몰,0039382263,햇반 컵반 컵밥 황태국밥 170g x12개+버터장조림비빔밥 216g x12개,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039382263,버터,버터,햇반,12,개
농협몰,0039382784,비비고 계란옷입은 고기완자 480g x2개+도톰 동그랑땡 340g x1개,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039382784,계란,계란,비비고,1,개
농협몰,0039393661,서울우유 내안의 진짜 딸기 280mlx36개,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039393661,우유,우유,서울우유,36,개
농협몰,0039396967,스윗버터갈릭 엄마손파이 254gx8개,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039396967,버터,버터,스윗버터갈릭,8,개
농협몰,0039396970,스윗버터갈릭 엄마손파이 127gx16개,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039396970,버터,버터,스윗버터갈릭,16,개
